codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
4673,5,20,CANECAO REFORÇADO POLIDO 12,6,6 peças,3061,,"101,64","16,94"
3062,5,20,CANECAO REFORÇADO POLIDO 14,1,"- 1,90 L",,,"22,53","22,53"
4674,5,20,CANECAO REFORÇADO POLIDO 14,6,6 peças,3062,,"127,05","21,18"
3063,5,20,CANECAO REFORÇADO POLIDO 16,1,"- 2,55 L",,,"27,42","27,42"
4675,5,20,CANECAO REFORÇADO POLIDO 16,6,6 peças,3063,,"154,65","25,77"
3044,5,20,CANECAO REFORÇADO POLIDO 18,1,"- 3,85 L",,,"50,29","50,29"
4683,5,20,CANECAO REFORÇADO POLIDO 18,6,6 peças,3044,,"283,66","47,28"
3081,5,20,FERVEDOR REFORÇADO POLIDO 12,1,"- 1,10 L",,,"24,43","24,43"
4676,5,20,FERVEDOR REFORÇADO POLIDO 12,6,6 peças,3081,,"137,81","22,97"
3082,5,20,FERVEDOR REFORÇADO POLIDO 14,1,"- 1,70 L",,,"29,83","29,83"
4677,5,20,FERVEDOR REFORÇADO POLIDO 14,6,6 peças,3082,,"168,22","28,04"
3083,5,20,FERVEDOR REFORÇADO POLIDO 16,1,"- 2,35 L",,,"37,17","37,17"
4678,5,20,FERVEDOR REFORÇADO POLIDO 16,6,6 peças,3083,,"209,66","34,94"
3218,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 12,1,"- 1,30 L",,,"24,30","24,30"
4679,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 12,6,6 peças,3218,,"137,08","22,85"
3219,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 14,1,"- 1,90 L",,,"28,73","28,73"
4680,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 14,6,6 peças,3219,,"162,01","27,00"
3220,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 16,1,"- 2,55 L",,,"33,90","33,90"
4681,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 16,6,6 peças,3220,,"191,21","31,87"
3064,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 18,1,"- 3,85 L",,,"40,35","40,35"
4684,5,20,CANECAO REFORÇADO POLIDO C/ CABO MADEIRA 18,6,6 peças,3064,,"227,56","37,93"
6015,5,21,CANECAO EXTRA ACETINADO 20 ,1,"- 5,50 L",,,"76,47","76,47"
4059,5,22,JOGO CANECOES REFORÇADO CRAQUEADO 12 A 16 ,1,12-14-16,,,"75,56","75,56"
4098,5,22,JOGO CANECOES REFORÇADO VERMELHO 12 A 16,1,12-14-16,,,"75,56","75,56"
4139,5,22,JOGO CANECOES REFORÇADO PRETO 12 A 16,1,12-14-16,,,"75,56","75,56"
5226,6,23,FRIG FRANCESA NEW FORT FLON 16,1,"- 0,60 L",,,"22,31","22,31"
4794,6,23,FRIG FRANCESA NEW FORT FLON 16,6,6 peças,5226,,"125,83","20,97"
5227,6,23,FRIG FRANCESA NEW FORT FLON 18,1,"- 0,75 L",,,"26,09","26,09"
4795,6,23,FRIG FRANCESA NEW FORT FLON 18,6,6 peças,5227,,"147,15","24,52"
5228,6,23,FRIG FRANCESA NEW FORT FLON 20,1,"- 0,85 L",,,"28,49","28,49"
4796,6,23,FRIG FRANCESA NEW FORT FLON 20,6,6 peças,5228,,"160,68","26,78"
5229,6,23,FRIG FRANCESA NEW FORT FLON 22,1,"- 1,00 L",,,"33,92","33,92"
4797,6,23,FRIG FRANCESA NEW FORT FLON 22,6,6 peças,5229,,"191,32","31,89"
5230,6,23,FRIG FRANCESA NEW FORT FLON 24,1,"- 1,15 L",,,"38,41","38,41"
4798,6,23,FRIG FRANCESA NEW FORT FLON 24,6,6 peças,5230,,"216,64","36,11"
5231,6,23,FRIG FRANCESA NEW FORT FLON 26,1,"- 1,65 L",,,"45,41","45,41"
